id,seccion,competencia,dificultad,tipo,clave,justificacion,estado
1,Estadística básica,Aplicar la regla 68–95–99.7,básica,selección múltiple,95%,Dos desviaciones estándar alrededor de la media contienen aproximadamente el 95% de una distribución normal.,aprobada
2,Estadística básica,Interpretar el valor p,básica,selección múltiple,"La probabilidad de observar datos tan extremos o más, dado que H_0 es verdadera",El valor p se define bajo la hipótesis nula y mide cuán extremos son los datos observados.,aprobada
3,Estadística básica,Identificar el error tipo I,básica,selección múltiple,Error Tipo I,El error tipo I consiste en rechazar una hipótesis nula que en realidad es verdadera.,aprobada
4,Estadística básica,Interpretar frecuentistamente un intervalo de confianza,intermedia,selección múltiple,"En muestreos repetidos, aproximadamente 95% de los intervalos construidos con este procedimiento contendrían el parámetro",La cobertura del 95% se refiere al desempeño del procedimiento en muestreos repetidos.,aprobada
5,Estadística básica,Reconocer qué mide la varianza,básica,selección múltiple,La dispersión de los datos alrededor de la media,La varianza cuantifica la dispersión cuadrática de una variable alrededor de su media.,aprobada
6,Regresión lineal,Interpretar una pendiente ceteris paribus,básica,selección múltiple,El cambio esperado en Y por cada unidad adicional de X,La pendiente mide el cambio esperado en el resultado al variar X en una unidad manteniendo lo demás constante.,aprobada
7,Regresión lineal,Interpretar R^2,básica,selección múltiple,El 75% de la variación en Y es explicada por las variables independientes,R^2 resume la proporción de la variación muestral del resultado explicada por el modelo.,aprobada
8,Regresión lineal,Distinguir los supuestos de MCO,intermedia,selección múltiple,Los errores deben seguir una distribución uniforme,La distribución uniforme de los errores no es un supuesto del modelo clásico de regresión lineal.,aprobada
9,Regresión lineal,Evaluar significancia a niveles convencionales,básica,selección múltiple,El coeficiente es significativo al 5%,Un valor p de 0.03 es menor que 0.05 pero mayor que 0.01.,aprobada
10,Regresión lineal,Interpretar un modelo semilogarítmico,intermedia,selección múltiple,Aproximadamente (100 beta_1)% por una unidad adicional de X,En un modelo log-nivel 100 veces la pendiente aproxima el cambio porcentual del resultado ante una unidad adicional de X.,aprobada
11,Causalidad,Distinguir correlación de causalidad,básica,selección múltiple,Correlación espuria (correlación sin causalidad),Una asociación puede deberse a una tercera variable y no implica por sí sola un efecto causal.,aprobada
12,Causalidad,Reconocer el sesgo de selección,básica,selección múltiple,Los individuos tratados son sistemáticamente diferentes de los no tratados,Las diferencias previas entre tratados y no tratados impiden atribuir directamente la diferencia de resultados al tratamiento.,aprobada
13,Causalidad,Comprender la asignación aleatoria,básica,selección múltiple,Hace que los grupos de tratamiento y control sean comparables en expectativa,La aleatorización balancea en expectativa características observables y no observables.,aprobada
14,Causalidad,Definir el contrafactual,básica,selección múltiple,Lo que habría ocurrido en ausencia del tratamiento,El contrafactual es el resultado potencial que no se observa para una unidad en el estado alternativo.,aprobada
15,Causalidad,Evaluar la comparación participantes/no participantes,intermedia,selección múltiple,La autoselección (los que participan pueden ser diferentes de los que no),La participación voluntaria puede generar diferencias preexistentes que contaminan la comparación.,aprobada
16,Stata,Inspeccionar observaciones,básica,selección múltiple,browse o list,browse abre el visor de datos y list muestra observaciones en la ventana de resultados.,aprobada
17,Stata,Interpretar la salida de regress,básica,selección múltiple,"Por cada unidad adicional de x, Y aumenta en 2.35 unidades (en promedio)",Un coeficiente estimado representa el cambio promedio asociado con una unidad adicional del regresor.,aprobada
18,Stata,Escribir la sintaxis de una regresión,básica,respuesta abierta,regress Y X1 X2,En Stata regress seguido de la variable dependiente y los regresores estima una regresión lineal.,aprobada
19,Stata,Crear una variable condicionalmente,básica,selección múltiple,generate ingreso_alto = 1 if ingreso > 1000,generate crea la variable nueva e if limita la asignación a las observaciones que cumplen la condición.,aprobada
20,Stata,Recuperar r(mean) después de summarize,intermedia,selección múltiple,display r(mean),summarize almacena la media en el resultado retornado r(mean) hasta que otro comando de clase r lo sobrescriba.,aprobada
